videopath,source,caption,neg_caption,youtube_key,split,misalignment
msr-vtt_TrainValVideo_video5346,msr-vtt,a man sances a little and then hugs a smaller man before he makes a burger,a man makes a burger before he sances a little and then hugs a smaller man,y_B5pNxIr24,train,flip
k600_val_vWnWpCg0ElM_000011_000021,vatex,A woman in a wedding dress has the indignity of riding a motorcycle while another passenger proceeds to have her bottom slapped.,A woman in a wedding dress proceeds to have her bottom slapped while another passenger has the indignity of riding a motorcycle,,train,flip
k600_val_r3xb-RcN-QU_000060_000070,vatex,A woman is exercising by sliding across the floor and working her lower body.,A woman is working her lower body before sliding across the floor,,train,flip
k600_val_m3Mh-mY2GXc_000026_000036,vatex,"An official tosses a coin with the two teams at the start of a game, and announces the result.",An official announces the result of a game before tossing a coin with the two teams,,train,flip
k600_val_iT2rFQfLClk_000000_000010,vatex,a girl is in a karate class and she runs and kicks her leg at the teacher.,a girl is in a karate class and she runs and kicks her leg at the student.,,train,action
tempo_videos_9096,tempo,the man keeps playing his guitar after the man begins moving his head to the music,the man stops playing his guitar after the man begins moving his head to the music,,train,action
tempo_videos_10961,tempo,the people are seen then the person turns over.,the people are seen then the person sits up.,,train,action
msr-vtt_TrainValVideo_video282,msr-vtt,demonstration of a video game showing how to place a house,demonstration of a video game showing how to remove a house,1b_aDIMTyvM,train,action
k600_val_y5zcNPKkJXY_000009_000019,vatex,A woman is talking into a microphone and a crowd then cheers while words play on screen.,A crowd cheers before a woman is talking into a microphone and words play on screen,,train,flip
msr-vtt_TrainValVideo_video1197,msr-vtt,a man in a hard hat is walking around a construction site watching people sawing and building a building while a woman talks about the hit construction business has taken,a man in a hard hat is walking around a construction site talking about the hit construction business has taken while people sawing and building a building,V4hzJrbSX6A,train,flip
k600_val_71xKpl83CDI_000008_000018,vatex,A man drinks a beer and then licks the foam off of his lip.,A man licks the foam off of his lip and then drinks a beer,,train,flip
k600_val_CcXpmyRQMOI_000000_000010,vatex,A young child bounces in a bounce house while another is stuck on ceiling while the house inflates.,A young child bounces in a bounce house while another is stuck on ceiling while the house deflates,,train,flip
k600_val_xLje2Wvy8xU_000058_000068,vatex,A child gets bread out and starts to get meat out for a sandwhich.,A child gets meat out and starts to get bread out for a sandwhich,,train,flip
msr-vtt_TrainValVideo_video6441,msr-vtt,a man is playing a video game and telling about it,A man is telling about a video game and then playing it,VXvb3vw6BxQ,train,flip
tempo_videos_498,tempo,the people waves signs before the woman is seen,the woman is seen before the people waves signs,,train,flip
k600_val_PenwKrUxZto_000167_000177,vatex,A man removes a manual from a printing machine and stacks it next to others.,A man stacks a manual next to others and then removes it from a printing machine,,train,flip
msr-vtt_TrainValVideo_video2712,msr-vtt,video of the song oxygen from the disney movie teen beach at the part where the couple is overlooking the ocean while cuddling on the lifeguard tower,video of the song oxygen from the disney movie teen beach at the part where the couple is overlooking the ocean while cuddling on the lifeguard tower first and then they are on the beach,oYgh2C0UTUs,train,flip
k600_val_ap3gy9OIRyE_000104_000114,vatex,The little boy is learning how to play the piano in the living room.,The little boy is learning how to play the guitar in the living room.,,train,action
tempo_videos_2749,tempo,the camera shows the back of a mans head before it show a fire begin.,the camera shows a fire begin before the back of a man's head,,train,flip
k600_val_R0PvkI2BADo_000094_000104,vatex,A person was doing spray white color spray paint for the chair by holding by his leg,A person was doing spray white color spray paint for the chair by holding by his hand,,train,action
msr-vtt_TrainValVideo_video3686,msr-vtt,a motor bikes is going round in the area and what he says is bike is more cheaper than the other vehicle,a motor bikes is going round in the area and what he says is bike is more expensive than the other vehicle,wKO1Osn6vj0,train,action
k600_val_T01QMxrUda4_000000_000010,vatex,A man gives a small dog a bath in a washtub.,A man gives a small dog a bath in a shower.,,train,action
k600_val_Y-YKtMqSESA_000065_000075,vatex,A lady with glasses using a carving knife to carve out the skin of an apple.,A lady with glasses using a carving knife to cut a piece of cheese.,,train,action
msr-vtt_TrainValVideo_video3975,msr-vtt,the speech delivered by a man shape making fun  of people who sits and talks and never do action,the speech delivered by a man shape making fun  of people who stands and talks and never do action,wUEl8KrMz14,train,action
tempo_videos_1915,tempo,the camera zooms on the man's hand after a man dramatically drops something into a bowl,the camera zooms on the man's hand before a man dramatically drops something into a bowl,,train,flip
k600_val_gwv0exc4aw4_000029_000039,vatex,A woman is blowing candles on a birthday cake while the people in the background are talking.,A woman is talking to the people in the background while she blows candles on a birthday cake,,train,flip
msr-vtt_TrainValVideo_video4109,msr-vtt,a couple on a date in a restaurant talking about how oyster are an aphrodisiac,a couple on a date in a restaurant talking about how oyster are a delicacy,3An63uXadJI,train,action
tempo_videos_501,tempo,people are holding out papers and pens to a man before the green ball appears.,The green ball appears before people are holding out papers and pens to a man,,train,flip
k600_val_b9vF-F1LC5g_000003_000013,vatex,A man uses a large roll of plastic wrap to cover furniture for protection from damage.,A man uses a large roll of plastic wrap to cover a car for protection from damage.,,train,action
k600_val_udhU9ZoSp0w_000010_000020,vatex,A half assembled puzzle is shown as two hands add pieces one by one in fast motion while music plays.,A half assembled puzzle is shown as two hands remove pieces one by one in fast motion while music plays.,,train,action
k600_val_Y6GvJycngWI_000038_000048,vatex,A scantily clad woman is running on a bridge while music plays.,A scantily clad woman is walking on a bridge while music plays.,,train,action
msr-vtt_TrainValVideo_video1449,msr-vtt,a comedian is pelted with birds and plays games on stage,A comedian plays games on stage before being pelted with birds,1gVmNC4627I,train,flip
k600_val_nPGctuxTMd4_000000_000010,vatex,A group of bagpipe players march in a parade as onlookers clap.,A group of bagpipe players dance in a parade as onlookers clap.,,train,action
k600_val_neHJsZ7hg3w_000036_000046,vatex,Two men speak while snake is wrapped around neck or shoulder.,Two men speak while snake is wrapped around waist.,,train,action
k600_val_9IjhC6aVw3c_000065_000075,vatex,A young man in a t-shirt and sweatpants provides instruction on how to spin objects.,A young man in a t-shirt and sweatpants provides instruction on how to throw objects.,,train,action
k600_val_boB5HNmhHTg_000065_000075,vatex,A child holding a spoon crushes the food on the plate as another person tries to feed the baby,A child holding a spoon crushes the food on the plate after another person tries to feed the baby,,train,flip
k600_val_jY2N5gOu5sw_000121_000131,vatex,A man serving drinks in a bar with some very loud music playing.,"A man serving drinks in a bar with some very loud music playing, then the music stops",,train,flip
k600_val_4BMwyEVBoII_000191_000201,vatex,A lady is practicing golf by hitting the ball against a black tarp.,A lady is practicing baseball by hitting the ball against a black tarp.,,train,action
msr-vtt_TrainValVideo_video6400,msr-vtt,a woman is discussing famine and agricultural failure,A woman is discussing famine and agricultural failure after she is eating,jNezTsrCY0Q,train,flip
msr-vtt_TrainValVideo_video2431,msr-vtt,a man talking about pop culture,a man talking about politics,5xBwy9VAHRY,train,action
k600_val_jpTXH1EdPs0_000000_000010,vatex,"A man sits on a couch next to a dresser with a table lamp, and reads a book","A man sits on a couch next to a dresser with a table lamp, and watches a movie",,train,action
k600_val_M3j2M00VskE_000006_000016,vatex,A fresh batch of baked cookies are coming out of the oven,A fresh batch of baked cookies are going in the oven,,train,action
k600_val_cyZ7XSeSUd8_000000_000010,vatex,Someone is throwing a knife into a target while Lion King plays in the background.,Someone is throwing a knife into a target after Lion King plays in the background,,train,flip
k600_val_cs4UM8n4-Jc_000311_000321,vatex,A man plays drums on a drum kit outdoors while music plays.,A man plays drums on a drum kit indoors while music plays.,,train,action
k600_val_d9ELWl9-8NE_000003_000013,vatex,a young man and woman play sword fight and another woman explains to the young woman that she cannot see her face.,"a young man and woman play sword fight and another woman explains to the young woman that she cannot see her face, and then they play sword fight again",,train,flip
k600_val_dLEv-XgJUtY_000002_000012,vatex,A shirtless man is lifting heavy weights in a gym and drops them after.,A shirtless man drops heavy weights in a gym and lifts them after,,train,flip
msr-vtt_TrainValVideo_video2771,msr-vtt,girls are dancing to a rap song,girls are singing to a rap song,WLfPdOhD0qk,train,action
k600_val_dOWcXMFwZEg_000187_000197,vatex,Several highlights of basketball games are being shown with dramatic music in the background.,Several highlights of basketball games are being shown with dramatic music in the background and then the music stops,,train,flip
msr-vtt_TrainValVideo_video3980,msr-vtt,man is driving and giving a review of a car,man is giving a review of a car before he drives,0kth42GxjBQ,train,flip
msr-vtt_TrainValVideo_video2079,msr-vtt,a person is explaining something,a person is listening to something,3l7YMhVyv0w,train,action
msr-vtt_TrainValVideo_video3496,msr-vtt,a short movie clip showing a military helicopter getting ready to crash,a short movie clip showing a military helicopter getting ready to take off,isyhJeGZlFE,train,action
msr-vtt_TrainValVideo_video3955,msr-vtt,people are walking on the path to go see things,people are running on the path to go see things,ugDBJEAVG_A,train,action
msr-vtt_TrainValVideo_video5401,msr-vtt,a lady gives a short intro of a ceremony,a lady gives a long intro of a ceremony,Xco7o7-uTiI,train,action
k600_val_y9TUT-GsAvY_000027_000037,vatex,A small child is walking and sitting with a tissue that they use to wipe their nose.,A small child is sitting and wiping their nose with a tissue before they walk,,train,flip
msr-vtt_TrainValVideo_video6496,msr-vtt,person in blue shirt is talking about his latest study,person in blue shirt is talking about his latest book,tkdF8pOFUfI,train,action
k600_val_fa1WrHOTjxY_000512_000522,vatex,A woman is making a tapestry with a tapestry loom.,A woman is making a tapestry with a tapestry needle.,,train,action
msr-vtt_TrainValVideo_video263,msr-vtt,a guy talks to another guy while an audience laughs nonstop to the cue of a laugh track,"a guy talks to another guy while an audience laughs nonstop to the cue of a laugh track, then the audience stops laughing",BQRMvg5TAl8,train,flip
k600_val_glAQS4T9AYY_000048_000058,vatex,A little by was feeding the pigeons and then squatted in their midst,A little by was squatting in their midst and then feeding the pigeons,,train,flip
k600_val_suclq6qPH-k_000080_000090,vatex,A group of women and men dance together in a line.,A group of women and men stand together in a line.,,train,action
msr-vtt_TrainValVideo_video4915,msr-vtt,a man wearing black dress talking something about human parts,a woman wearing black dress talking something about human parts,WtrYotjYvtU,train,action
k600_val_tVG1cCloXuM_000004_000014,vatex,A woman assists her small child as the child pushes a grocery cart through the store.,A woman pushes a grocery cart through the store as the child assists her,,train,flip
k600_val_ESnU5Vn5gqE_000030_000040,vatex,Music is playing while a woman is demonstrating how to eat a hot dog.,"Music is playing while a woman is using chopsticks, and she is demonstrating how to eat a hot dog",,train,flip
k600_val_D2NID7pqThs_000166_000176,vatex,A man is parachuting over the water and aiming to land on land,A man is parachuting over the land and aiming to land on the water,,train,flip
msr-vtt_TrainValVideo_video4134,msr-vtt,several people are walking to a theater to view a film,several people are running to a theater to view a film,Tw1ZwtqsVe0,train,action
msr-vtt_TrainValVideo_video3757,msr-vtt,a man is singing and playing a guitar in front of a live audience,a man is singing and playing a piano in front of a live audience,bDlWEfo3yZ4,train,action
k600_val_5H02ohmoKow_000068_000078,vatex,A man is climbing a palm tree and trimming the bottom of it.,A man is trimming the bottom of a palm tree and then climbs it,,train,flip
k600_val_r0v3I6yO5h4_000033_000043,vatex,A person surfs on the waves holding a parachute while music plays.,A person plays music while surfing on the waves holding a parachute,,train,flip
k600_val_wD9mBFSHM1Y_000000_000010,vatex,"A man laying down, grabbing weights and exercising with them.","A man grabbing weights and exercising with them, then lays down",,train,flip
msr-vtt_TrainValVideo_video6760,msr-vtt,a boy is commentating over a minecraft cat,a boy is playing with a minecraft cat,CWkKyd9b0-8,train,action
k600_val_fv66jtkLaTg_000020_000030,vatex,a person painting a picture of a lady on a small piece of wood.,a person drawing a picture of a lady on a small piece of wood.,,train,action
k600_val_eKrDYm11Y7s_000186_000196,vatex,A custom bulldozer rams several cars in a parking lot while onlookers look in horror,A custom bulldozer rams several cars in a parking lot while onlookers look in horror and then the bulldozer drives away,,train,flip
msr-vtt_TrainValVideo_video5686,msr-vtt,woman speaking on how to wear sports bra,woman speaking on how to wear a t-shirt,xeVuv7HxDK0,train,action
k600_val_eu1rVQkOuPc_000018_000028,vatex,A woman demonstrates how to rub lotion onto her hands in her room.,A woman demonstrates how to rub lotion onto her face in her room.,,train,action
msr-vtt_TrainValVideo_video4778,msr-vtt,john cena gets put in a headlock,john cena puts someone in a headlock,wO_dt-XnViM,train,action
k600_val_lcWLtB0IVYk_000013_000023,vatex,A man is free lifting weights while music plays in the background.,A man free lifts weights after music plays in the background,,train,flip
k600_val_gPminU116rA_000064_000074,vatex,A highschool marching band is performing in a parade with people watching.,"A highschool marching band is performing in a parade with people watching, then the band starts playing",,train,flip
tempo_videos_12260,tempo,the woman is handed a lptop and then she smiles,the woman is handed a lptop and then she frowns,,train,action
tempo_videos_77,tempo,camera moves to the right before a guy in a red coat and hat enters and exits frame,camera moves to the right after a guy in a red coat and hat enters and exits frame,,train,flip
k600_val_3CpXBHEXgrQ_000099_000109,vatex,A jet ski is being ridden on the water as somebody is speaking through an amplified speaker.,A jet ski is being ridden on the water after somebody is speaking through an amplified speaker,,train,flip
tempo_videos_5666,tempo,the man with the yellow jacket leaves after he appears,the man with the yellow jacket comes after he appears,,train,action
k600_val_HrsDgFa0bqU_000004_000014,vatex,Someone gets soap from a dispenser on the wall and then turns on the water in a sink to wash their hands.,Someone turns on the water in a sink to wash their hands and then gets soap from a dispenser on the wall,,train,flip
tempo_videos_2830,tempo,the dog is shown after the big brother playing with little brother.,the big brother plays with little brother after the dog is shown,,train,flip
k600_val_7xd0XOSIUfw_000488_000498,vatex,A man cooks in a pan set on a metal grate over a camp fire.,A man eats in a pan set on a metal grate over a camp fire.,,train,action
k600_val_9s3oeyGSF-I_000029_000039,vatex,A girl is crying and screaming for someone to go away.,A girl is crying and screaming for someone to come closer,,train,flip
k600_val_pjtnvk9AMLY_000008_000018,vatex,A man is performing a song on a reed pipe in front of a microphone.,A man is performing a song on a keyboard in front of a microphone.,,train,action
msr-vtt_TrainValVideo_video153,msr-vtt,after allowing a pot of water to boil a person adds an ingredient possibly raw chicken pieces,a robot is leaving a hall talking to a person,_md2Hp1UCeo,train,action
msr-vtt_TrainValVideo_video4977,msr-vtt,a villain is talking to a girl while her father is looking for her,A villain is looking for a girl while her father is talking to her,CkWYEtiQNjU,train,flip
msr-vtt_TrainValVideo_video4550,msr-vtt,the car drives on the grass in a circle,the car drives on the road in a circle,5PdC8KjIX4E,train,action
tempo_videos_2408,tempo,the dancers move to the right before the dancers start to turn so they face right.,the dancers start to turn so they face right before the dancers move to the right,,train,flip
k600_val_kO3klFJySbY_000109_000119,vatex,A man does a standup comedy routine as people sit and listen.,A man does a standup comedy routine as people stand and listen.,,train,action
k600_val_1Mc6Krmttw0_000037_000047,vatex,A receiver makes a big catch at a high school football game with rock music playing in the background.,A receiver misses a big catch at a high school football game with rock music playing in the background.,,train,action
k600_val_b0z-rOhCf2w_000001_000011,vatex,A young girl plays with her xylophone by herself.,A young girl plays with her xylophone with her mother.,,train,action
msr-vtt_TrainValVideo_video6587,msr-vtt,various images of men working out are shown while a man gives a motivational message,Various images of men working out are shown before a man gives a motivational message,sgnREDcc0IY,train,flip
k600_val_fnWpgbDgUKI_000003_000013,vatex,A man taps hit fingers on a table to make a rhythmic beat.,A man taps his toes on a table to make a rhythmic beat.,,train,action
k600_val_ktgswXX8TYo_000003_000013,vatex,A woman is learning to ride a segway as her teacher guides her.,"A woman is learning to ride a segway as her teacher guides her, and then she falls off",,train,flip
k600_val_hJD5c0n2u6M_000051_000061,vatex,Music plays as a man uses a selfie stick while he does body surfing.,a man uses a selfie stick while he does a backflip.,,train,action
k600_val_cOktW9SKRBM_000003_000013,vatex,A man is running on an indoor track and jumping over hurdles while other people can be seen walking.,A man is walking on an indoor track and jumping over hurdles while other people can be seen running,,train,flip
msr-vtt_TrainValVideo_video1547,msr-vtt,music plays while a woman boards a boat shot from a selfie stick perspective,music plays after a woman boards a boat shot from a selfie stick perspective,AMIa7ZcZz7M,train,flip
msr-vtt_TrainValVideo_video639,msr-vtt,catty girls talk in a preview,catty girls fight in a preview,d6iW3GJ2eb4,train,action
k600_val_8ZlXJeIhp7M_000141_000151,vatex,A man applies mortar to a wall of cinder blocks with a trowel while stringed background miusic plays.,A man applies mortar to a wall of cinder blocks with a spoon while stringed background miusic plays.,,train,action
msr-vtt_TrainValVideo_video1816,msr-vtt,white pan cakes are cooked in black non stick pans and are kept in white porcelain plates,white pan cakes are cooked in black non stick pans and are kept in black porcelain plates,z2fp_rq7X2U,train,action
k600_val_a626NhTMqNg_000006_000016,vatex,"A child, together with mom is playing ball in the living room.","A child, together with mom is playing chess in the living room.",,train,action
tempo_videos_3061,tempo,child stops to look at the item before adult arm is shown.,child stops to look at the item after the adult arm is shown.,,train,flip
k600_val_HDaWPTiOt9M_000102_000112,vatex,A man is doing different types of push ups in his room.,A man is doing different types of sit ups in his room.,,train,action
k600_val_MPDAag15nXA_000016_000026,vatex,A young girl is brushing her hair in front of a mirror and touch it up.,A young girl is touching her hair up in front of a mirror before brushing her hair,,train,flip
k600_val_ra1BvqgLW58_000039_000049,vatex,A young boy is standing on a stool picking fruit from a tree.,A young boy is standing on a stool eating fruit from a tree.,,train,action
k600_val_fFIgZGEx8dA_000104_000114,vatex,A man drinks an IPA beer and agrees with his friend that he likes it.,A man agrees with his friend that he likes it before he drinks an IPA beer,,train,flip
k600_val_qFjPNVIYFgE_000020_000030,vatex,A person wearing a gold mask dances to music while the crowd laughs.,A person wearing a gold mask dances to music while the crowd is sad,,train,flip
msr-vtt_TrainValVideo_video4574,msr-vtt,an eagles running back gracefully jumps over a defender in front of him,an eagles running back gracefully jumps over a defender in front of him then he runs,wEhCTi8l7nM,train,flip
msr-vtt_TrainValVideo_video5598,msr-vtt,a man is explaining how to take apart and put a gun back together,A man puts a gun back together before explaining how to take it apart,TNYnYEXFOd8,train,flip
k600_val_vOvo81B-zK8_000002_000012,vatex,"Motorcyclist performs a trick by tilting vertically over a hill, and then becomes horizontal with both wheels on ground.",Motorcyclist becomes horizontal with both wheels on ground and then tilts vertically over a hill,,train,flip
k600_val_ZTEeMTYgoh0_000200_000210,vatex,A man is laying bricks and sanding the edges with a tool.,A man is laying bricks and hammering the edges with a tool.,,train,action
k600_val_pPnBQi5kXQs_000014_000024,vatex,A man is processing meat through an iron grinder before cleaning it.,A man is cleaning the iron grinder before processing meat through it,,train,flip
k600_val_9Ze6tmq0Jvg_000170_000180,vatex,Adults and children practice hockey in a rink while music plays in the backgound.,Adults and children practice hockey in a rink after music plays in the backgound,,train,flip
k600_val_COpSkp-tfhI_000002_000012,vatex,"A man is kneeling at a campfire preparing a meal, while others are looking on and music is playing.",The man is looking on while music is playing and others are kneeling at a campfire preparing a meal,,train,flip
k600_val_jIjeJjHvhYI_000582_000592,vatex,A group of girls are playing badketball and one girl passes the ball.,A group of girls are playing badketball and one girl passes the ball and then they are playing badketball,,train,flip
msr-vtt_TrainValVideo_video5719,msr-vtt,a little girl painting using squeeze bottles instead of brushes,a little girl painting using brushes instead of squeeze bottles,cnpA9L8GPw8,train,action
k600_val_AV9UYjCD4wY_000011_000021,vatex,A women properly hydrating before playing her sport live.,A women properly hydrating after playing her sport live.,,train,action
tempo_videos_2012,tempo,a brick wall makes an appearance. then disappears,a brick wall disappears. then makes an appearance,,train,flip
msr-vtt_TrainValVideo_video383,msr-vtt,a man is talking about their personal experience,a man is talking about their work experience,75NLFMP61Fc,train,action
k600_val_MvlIfKNI46I_000094_000104,vatex,Man moving a baby from the floor to a mat while the baby rips tissue paper.,Man rips tissue paper while moving a baby from the floor to a mat,,train,flip
k600_val_a0ZmxuMyogI_000041_000051,vatex,a girl runs and grabs a bag and begins passing it with other friends,a girl begins passing it with other friends and then runs and grabs a bag,,train,flip
msr-vtt_TrainValVideo_video6476,msr-vtt,a man gives commentary to a basketball game,a man gives commentary to a baseball game,aR_y-MQlKoA,train,action
tempo_videos_396,tempo,the light zooms in on the orange circle before the person points at the switch with their finger.,the person points at the switch with their finger before the light zooms in on the orange circle,,train,flip
k600_val_loAwb-JFpW8_000232_000242,vatex,A four-piece band plays music together while people in front of them listen.,A four-piece band listens to people in front of them while they play music together,,train,flip
k600_val_qtiUt7pElF8_000004_000014,vatex,"A man is blowing his candles, and a boy is wishing him a happy birthday.",A man is wishing him a happy birthday and a boy is blowing his candles,,train,flip
k600_val_MsTld0OgKMA_000007_000017,vatex,"A man uses a scalp massager on a brown, white and black dog with thick hair.","A man uses a hair brush on a brown, white and black dog with thick hair.",,train,action
k600_val_MRqUHwjukzs_000004_000014,vatex,A man slides off a homemade ramp into a lake with a wakeboard.,A man slides off a homemade ramp into a lake with a wakeboard before he gets on the wakeboard,,train,flip
tempo_videos_5564,tempo,a man and woman are standing then the camera zooms in on the woman.,a man and woman are standing then the camera zooms in on the man.,,train,action
k600_val_mPOSsdEs6ns_000006_000016,vatex,A man drank some beer from the bottle and started to spin his head around,A man started to spin his head around and then drank some beer from the bottle,,train,flip
k600_val_LyFCUCuu2d0_000501_000511,vatex,A bunch of people are ski walking in the snow by some tables.,A bunch of people are ski running in the snow by some tables.,,train,action
k600_val_e2LIBGlv2Ds_000016_000026,vatex,A young girl is perched on top of a dresser then jumps off of it to a bed.,A young girl jumps off of a bed to a dresser then perches on top of it,,train,flip
k600_val_X5-HcuBGtAM_000037_000047,vatex,a man running while preparing to jump over a rope then falls after jumping,a man running while preparing to jump over a rope falls before jumping,,train,flip
msr-vtt_TrainValVideo_video4751,msr-vtt,a blonde-haired woman wearing an off-the-shoulder top looks at photographers using flash while boutique shopping for a white blouse,a blonde-haired woman looks at photographers using flash while boutique shopping for a white blouse before wearing an off-the-shoulder top,ya_Va1PU_jM,train,flip
tempo_videos_1663,tempo,man get hit by bowling ball then the man disappears.,man disappears then get hit by bowling ball,,train,flip
k600_val_Rpoud452BOY_000041_000051,vatex,a kid is showing how he can fold a shirt with a folding board.,a kid is showing how he can iron a shirt with a folding board.,,train,action
msr-vtt_TrainValVideo_video1930,msr-vtt,the hockey game was well played,the hockey game was well watched,raQS838dPyQ,train,action
msr-vtt_TrainValVideo_video169,msr-vtt,a man stands in a bread factory explaining his processes,a man stands in a bread factory after explaining his processes,xUL4X2uwAwc,train,flip
msr-vtt_TrainValVideo_video4223,msr-vtt,a man on a motorbike is talking while parking his bike in times square,a man on a motorbike is talking after parking his bike in times square,ubRJ0bybYlc,train,flip
tempo_videos_786,tempo,man itches nose before another man stands,Another man stands before man itches nose,,train,flip
k600_val_pQdEChJ6dyg_000000_000010,vatex,A man swimming in the ocean bodysurfs to the beach.,A man bodysurfs to the beach before swimming in the ocean,,train,flip
msr-vtt_TrainValVideo_video6966,msr-vtt,a lady with a scarf is cooking with dough,a lady with a scarf is making a cake with dough,JMP8_HioNqU,train,action
k600_val_kOg0L6erSks_000000_000010,vatex,During a karate class a man kicks and breaks a piece of wood in half.,During a karate class a man breaks a piece of wood in half and then kicks it,,train,flip
k600_val_--PwWfN1Ae4_000097_000107,vatex,A group of kids are sitting in chairs watching people on stage play instruments.,A group of kids are sitting in chairs playing instruments while people on stage watch them,,train,flip
tempo_videos_3177,tempo,the woman talks then the camera pans away,the camera pans away then the woman talks,,train,flip
k600_val_SBY2F917gBs_000000_000010,vatex,A man kiteboards in very bad weather on the ocean.,A man swims in very bad weather on the ocean.,,train,action
k600_val_R1mSKjNJYrg_000004_000014,vatex,A man is turning his head from side to side causing the neck to crack.,A man is causing his neck to crack before turning his head from side to side,,train,flip
msr-vtt_TrainValVideo_video6391,msr-vtt,a woman is combining all ingredients and refrigerated it,A woman is refrigerating all ingredients and then combining them,xBYszi0S8OA,train,flip
k600_val_qoqLHcAkdu4_000001_000011,vatex,A girl runs out on stage and begins to sing a song while the crowd claps.,A girl begins to sing a song while the crowd claps and then runs out on stage,,train,flip
k600_val_FSTaEc4Bpww_000472_000482,vatex,Men are shown working on a wall with cement in an advertisement video.,Men are shown working on a roof with cement in an advertisement video.,,train,action
k600_val_Qwx8eViwCYo_000103_000113,vatex,A young boy mixes chocolate pudding in a silver bowl with an electric mixer.,A young boy mixes chocolate pudding in a silver bowl with a wooden spoon.,,train,action
msr-vtt_TrainValVideo_video991,msr-vtt,a bus full of kids is driving on the road as a woman sings,a bus full of kids is singing as a woman drives on the road,11pPzbMpcTg,train,flip
k600_val_qrR0sR0MgR8_000005_000015,vatex,A cute little baby boy is opening his present from granny.,A cute little baby boy is closing his present from granny.,,train,action
k600_val_v0PdeB-b7kM_000013_000023,vatex,A duck and its kids swim around the lake with people.,A duck and its kids walk around the lake with people.,,train,action
k600_val_vWPCvR3PDFU_000068_000078,vatex,Two men are doing a fight-dance to drum music while others watch and clap to the beat.,Two men are watching others do a fight-dance to drum music while others watch and clap to the beat,,train,flip
k600_val_HyBfruyCbaw_000005_000015,vatex,A man twirling a knight on his finger then throwing it at a target.,A man throwing a knight at a target then twirling it on his finger,,train,flip
tempo_videos_8963,tempo,the man talks to the camera then the man looks to his right.,a man talks to the camera then the man looks to his left.,,train,action
k600_val_uLLsMzfIeWE_000155_000165,vatex,A man sits on a chair in a darkened room and raps to a beat.,A man sits on a chair in a darkened room and dances to a beat.,,train,action
k600_val_qHdlz2IJG60_000039_000049,vatex,"A person pans around the yard had all the snow, and then shows a boy cleaning it up.","A person pans around the yard had all the snow, and then shows a boy throwing it up.",,train,action
msr-vtt_TrainValVideo_video3530,msr-vtt,the man spoons the food from the skillet on the stove in the blender while it is still hot,the man spoons the food from the skillet on the stove in the blender after it is cold,yDbcbhSU4sU,train,flip
k600_val_F0PB-AHDBqc_000201_000211,vatex,Some men are cleaning an empty pool while a man is commenting on how tired the work is making him.,"Some men are cleaning an empty pool while a man is commenting on how tired the work is making him, then the men take a break",,train,flip
k600_val_ZZLtaVNZqDU_000001_000011,vatex,A man is practicing his ball throwing skills at a gym.,A man is practicing his ball catching skills at a gym.,,train,action
k600_val_vG93N2iSxl4_000117_000127,vatex,A woman is singing on a microphone while standing on a stage.,A woman is singing on a microphone while sitting on a stage.,,train,action
tempo_videos_98,tempo,the man's face is close to the camera before the camera pans to the right,the camera pans to the right before the man's face is close to the camera,,train,flip
