videopath,neg_caption,entailment
k600_val_PenwKrUxZto_000167_000177,A man stacks a manual next to others and then removes it from a printing machine,0.0203857421875
msr-vtt_TrainValVideo_video2712,video of the song oxygen from the disney movie teen beach at the part where the couple is overlooking the ocean while cuddling on the lifeguard tower first and then they are on the beach,0.00860595703125
k600_val_ap3gy9OIRyE_000104_000114,The little boy is learning how to play the guitar in the living room.,0.3203125
tempo_videos_2749,the camera shows a fire begin before the back of a man's head,0.59375
k600_val_R0PvkI2BADo_000094_000104,A person was doing spray white color spray paint for the chair by holding by his hand,0.65234375
msr-vtt_TrainValVideo_video3686,a motor bikes is going round in the area and what he says is bike is more expensive than the other vehicle,0.62109375
k600_val_T01QMxrUda4_000000_000010,A man gives a small dog a bath in a shower.,0.4375
k600_val_Y-YKtMqSESA_000065_000075,A lady with glasses using a carving knife to cut a piece of cheese.,0.87890625
msr-vtt_TrainValVideo_video3975,the speech delivered by a man shape making fun  of people who stands and talks and never do action,0.59375
tempo_videos_1915,the camera zooms on the man's hand before a man dramatically drops something into a bowl,0.5
k600_val_gwv0exc4aw4_000029_000039,A woman is talking to the people in the background while she blows candles on a birthday cake,0.0140380859375
msr-vtt_TrainValVideo_video4109,a couple on a date in a restaurant talking about how oyster are a delicacy,0.92578125
tempo_videos_501,The green ball appears before people are holding out papers and pens to a man,0.004608154296875
k600_val_b9vF-F1LC5g_000003_000013,A man uses a large roll of plastic wrap to cover a car for protection from damage.,0.5625
k600_val_udhU9ZoSp0w_000010_000020,A half assembled puzzle is shown as two hands remove pieces one by one in fast motion while music plays.,0.1064453125
k600_val_Y6GvJycngWI_000038_000048,A scantily clad woman is walking on a bridge while music plays.,0.9453125
msr-vtt_TrainValVideo_video1449,A comedian plays games on stage before being pelted with birds,0.0015106201171875
k600_val_nPGctuxTMd4_000000_000010,A group of bagpipe players dance in a parade as onlookers clap.,0.53125
k600_val_neHJsZ7hg3w_000036_000046,Two men speak while snake is wrapped around waist.,0.8515625
k600_val_9IjhC6aVw3c_000065_000075,A young man in a t-shirt and sweatpants provides instruction on how to throw objects.,0.77734375
k600_val_boB5HNmhHTg_000065_000075,A child holding a spoon crushes the food on the plate after another person tries to feed the baby,0.003173828125
k600_val_jY2N5gOu5sw_000121_000131,"A man serving drinks in a bar with some very loud music playing, then the music stops",0.0011672973632812
k600_val_4BMwyEVBoII_000191_000201,A lady is practicing baseball by hitting the ball against a black tarp.,0.06005859375
msr-vtt_TrainValVideo_video6400,A woman is discussing famine and agricultural failure after she is eating,0.0001087188720703
msr-vtt_TrainValVideo_video2431,a man talking about politics,0.75390625
k600_val_jpTXH1EdPs0_000000_000010,"A man sits on a couch next to a dresser with a table lamp, and watches a movie",0.02294921875
k600_val_M3j2M00VskE_000006_000016,A fresh batch of baked cookies are going in the oven,0.65234375
k600_val_cyZ7XSeSUd8_000000_000010,Someone is throwing a knife into a target after Lion King plays in the background,0.0015029907226562
k600_val_cs4UM8n4-Jc_000311_000321,A man plays drums on a drum kit indoors while music plays.,0.0179443359375
k600_val_d9ELWl9-8NE_000003_000013,"a young man and woman play sword fight and another woman explains to the young woman that she cannot see her face, and then they play sword fight again",0.015869140625
k600_val_dLEv-XgJUtY_000002_000012,A shirtless man drops heavy weights in a gym and lifts them after,0.0140380859375
msr-vtt_TrainValVideo_video2771,girls are singing to a rap song,0.5
k600_val_dOWcXMFwZEg_000187_000197,Several highlights of basketball games are being shown with dramatic music in the background and then the music stops,0.0001792907714843
msr-vtt_TrainValVideo_video3980,man is giving a review of a car before he drives,0.02294921875
msr-vtt_TrainValVideo_video2079,a person is listening to something,0.06005859375
msr-vtt_TrainValVideo_video3496,a short movie clip showing a military helicopter getting ready to take off,0.94140625
msr-vtt_TrainValVideo_video3955,people are running on the path to go see things,0.294921875
msr-vtt_TrainValVideo_video5401,a lady gives a long intro of a ceremony,0.65234375
k600_val_y9TUT-GsAvY_000027_000037,A small child is sitting and wiping their nose with a tissue before they walk,0.0028076171875
msr-vtt_TrainValVideo_video6496,person in blue shirt is talking about his latest book,0.92578125
k600_val_fa1WrHOTjxY_000512_000522,A woman is making a tapestry with a tapestry needle.,0.5
msr-vtt_TrainValVideo_video263,"a guy talks to another guy while an audience laughs nonstop to the cue of a laugh track, then the audience stops laughing",0.0019302368164062
k600_val_glAQS4T9AYY_000048_000058,A little by was squatting in their midst and then feeding the pigeons,0.0419921875
k600_val_suclq6qPH-k_000080_000090,A group of women and men stand together in a line.,0.8515625
msr-vtt_TrainValVideo_video4915,a woman wearing black dress talking something about human parts,0.6796875
k600_val_tVG1cCloXuM_000004_000014,A woman pushes a grocery cart through the store as the child assists her,0.5
k600_val_ESnU5Vn5gqE_000030_000040,"Music is playing while a woman is using chopsticks, and she is demonstrating how to eat a hot dog",0.2451171875
k600_val_D2NID7pqThs_000166_000176,A man is parachuting over the land and aiming to land on the water,0.4375
msr-vtt_TrainValVideo_video4134,several people are running to a theater to view a film,0.62109375
msr-vtt_TrainValVideo_video3757,a man is singing and playing a piano in front of a live audience,0.8359375
k600_val_5H02ohmoKow_000068_000078,A man is trimming the bottom of a palm tree and then climbs it,0.0140380859375
k600_val_r0v3I6yO5h4_000033_000043,A person plays music while surfing on the waves holding a parachute,0.02294921875
k600_val_wD9mBFSHM1Y_000000_000010,"A man grabbing weights and exercising with them, then lays down",0.05322265625
msr-vtt_TrainValVideo_video6760,a boy is playing with a minecraft cat,0.62109375
k600_val_fv66jtkLaTg_000020_000030,a person drawing a picture of a lady on a small piece of wood.,0.8359375
k600_val_eKrDYm11Y7s_000186_000196,A custom bulldozer rams several cars in a parking lot while onlookers look in horror and then the bulldozer drives away,0.0179443359375
msr-vtt_TrainValVideo_video5686,woman speaking on how to wear a t-shirt,0.119140625
k600_val_eu1rVQkOuPc_000018_000028,A woman demonstrates how to rub lotion onto her face in her room.,0.8671875
msr-vtt_TrainValVideo_video4778,john cena puts someone in a headlock,0.89453125
k600_val_lcWLtB0IVYk_000013_000023,A man free lifts weights after music plays in the background,0.0001087188720703
k600_val_gPminU116rA_000064_000074,"A highschool marching band is performing in a parade with people watching, then the band starts playing",0.0021820068359375
tempo_videos_12260,the woman is handed a lptop and then she frowns,0.1328125
tempo_videos_77,camera moves to the right after a guy in a red coat and hat enters and exits frame,0.77734375
k600_val_3CpXBHEXgrQ_000099_000109,A jet ski is being ridden on the water after somebody is speaking through an amplified speaker,0.000335693359375
tempo_videos_5666,the man with the yellow jacket comes after he appears,0.2451171875
k600_val_HrsDgFa0bqU_000004_000014,Someone turns on the water in a sink to wash their hands and then gets soap from a dispenser on the wall,0.0140380859375
tempo_videos_2830,the big brother plays with little brother after the dog is shown,0.22265625
k600_val_7xd0XOSIUfw_000488_000498,A man eats in a pan set on a metal grate over a camp fire.,0.0260009765625
k600_val_9s3oeyGSF-I_000029_000039,A girl is crying and screaming for someone to come closer,0.6796875
k600_val_pjtnvk9AMLY_000008_000018,A man is performing a song on a keyboard in front of a microphone.,0.0179443359375
msr-vtt_TrainValVideo_video153,a robot is leaving a hall talking to a person,0.1328125
msr-vtt_TrainValVideo_video4977,A villain is looking for a girl while her father is talking to her,0.006683349609375
msr-vtt_TrainValVideo_video4550,the car drives on the road in a circle,0.408203125
tempo_videos_2408,the dancers start to turn so they face right before the dancers move to the right,0.053466796875
k600_val_kO3klFJySbY_000109_000119,A man does a standup comedy routine as people stand and listen.,0.2451171875
k600_val_1Mc6Krmttw0_000037_000047,A receiver misses a big catch at a high school football game with rock music playing in the background.,0.3203125
k600_val_b0z-rOhCf2w_000001_000011,A young girl plays with her xylophone with her mother.,0.81640625
msr-vtt_TrainValVideo_video6587,Various images of men working out are shown before a man gives a motivational message,0.0009117126464843
k600_val_fnWpgbDgUKI_000003_000013,A man taps his toes on a table to make a rhythmic beat.,0.8515625
k600_val_ktgswXX8TYo_000003_000013,"A woman is learning to ride a segway as her teacher guides her, and then she falls off",0.0015029907226562
k600_val_hJD5c0n2u6M_000051_000061,a man uses a selfie stick while he does a backflip.,0.6796875
k600_val_cOktW9SKRBM_000003_000013,A man is walking on an indoor track and jumping over hurdles while other people can be seen running,0.1328125
msr-vtt_TrainValVideo_video1547,music plays after a woman boards a boat shot from a selfie stick perspective,0.1328125
msr-vtt_TrainValVideo_video639,catty girls fight in a preview,0.5
k600_val_8ZlXJeIhp7M_000141_000151,A man applies mortar to a wall of cinder blocks with a spoon while stringed background miusic plays.,0.09521484375
msr-vtt_TrainValVideo_video1816,white pan cakes are cooked in black non stick pans and are kept in black porcelain plates,0.5625
k600_val_a626NhTMqNg_000006_000016,"A child, together with mom is playing chess in the living room.",0.0035858154296875
tempo_videos_3061,child stops to look at the item after the adult arm is shown.,0.5625
k600_val_HDaWPTiOt9M_000102_000112,A man is doing different types of sit ups in his room.,0.59375
k600_val_MPDAag15nXA_000016_000026,A young girl is touching her hair up in front of a mirror before brushing her hair,0.004608154296875
k600_val_ra1BvqgLW58_000039_000049,A young boy is standing on a stool eating fruit from a tree.,0.46875
k600_val_fFIgZGEx8dA_000104_000114,A man agrees with his friend that he likes it before he drinks an IPA beer,0.000335693359375
k600_val_qFjPNVIYFgE_000020_000030,A person wearing a gold mask dances to music while the crowd is sad,0.037353515625
msr-vtt_TrainValVideo_video4574,an eagles running back gracefully jumps over a defender in front of him then he runs,0.294921875
msr-vtt_TrainValVideo_video5598,A man puts a gun back together before explaining how to take it apart,0.0017013549804687
k600_val_vOvo81B-zK8_000002_000012,Motorcyclist becomes horizontal with both wheels on ground and then tilts vertically over a hill,0.037353515625
k600_val_ZTEeMTYgoh0_000200_000210,A man is laying bricks and hammering the edges with a tool.,0.89453125
k600_val_pPnBQi5kXQs_000014_000024,A man is cleaning the iron grinder before processing meat through it,0.002471923828125
k600_val_9Ze6tmq0Jvg_000170_000180,Adults and children practice hockey in a rink after music plays in the backgound,5.14984130859375e-05
k600_val_COpSkp-tfhI_000002_000012,The man is looking on while music is playing and others are kneeling at a campfire preparing a meal,0.0260009765625
k600_val_jIjeJjHvhYI_000582_000592,A group of girls are playing badketball and one girl passes the ball and then they are playing badketball,0.0035858154296875
msr-vtt_TrainValVideo_video5719,a little girl painting using brushes instead of squeeze bottles,0.75390625
k600_val_AV9UYjCD4wY_000011_000021,A women properly hydrating after playing her sport live.,0.46875
tempo_videos_2012,a brick wall disappears. then makes an appearance,0.3203125
msr-vtt_TrainValVideo_video383,a man is talking about their work experience,0.796875
k600_val_MvlIfKNI46I_000094_000104,Man rips tissue paper while moving a baby from the floor to a mat,0.119140625
k600_val_a0ZmxuMyogI_000041_000051,a girl begins passing it with other friends and then runs and grabs a bag,0.2021484375
msr-vtt_TrainValVideo_video6476,a man gives commentary to a baseball game,0.9765625
tempo_videos_396,the person points at the switch with their finger before the light zooms in on the orange circle,0.5
k600_val_loAwb-JFpW8_000232_000242,A four-piece band listens to people in front of them while they play music together,0.012451171875
k600_val_qtiUt7pElF8_000004_000014,A man is wishing him a happy birthday and a boy is blowing his candles,0.029296875
k600_val_MsTld0OgKMA_000007_000017,"A man uses a hair brush on a brown, white and black dog with thick hair.",0.81640625
k600_val_MRqUHwjukzs_000004_000014,A man slides off a homemade ramp into a lake with a wakeboard before he gets on the wakeboard,0.0011672973632812
tempo_videos_5564,a man and woman are standing then the camera zooms in on the man.,0.376953125
k600_val_mPOSsdEs6ns_000006_000016,A man started to spin his head around and then drank some beer from the bottle,0.0260009765625
k600_val_LyFCUCuu2d0_000501_000511,A bunch of people are ski running in the snow by some tables.,0.73046875
k600_val_e2LIBGlv2Ds_000016_000026,A young girl jumps off of a bed to a dresser then perches on top of it,0.1640625
k600_val_X5-HcuBGtAM_000037_000047,a man running while preparing to jump over a rope falls before jumping,0.0673828125
msr-vtt_TrainValVideo_video4751,a blonde-haired woman looks at photographers using flash while boutique shopping for a white blouse before wearing an off-the-shoulder top,0.012451171875
tempo_videos_1663,man disappears then get hit by bowling ball,0.5
k600_val_Rpoud452BOY_000041_000051,a kid is showing how he can iron a shirt with a folding board.,0.46875
msr-vtt_TrainValVideo_video1930,the hockey game was well watched,0.5625
msr-vtt_TrainValVideo_video169,a man stands in a bread factory after explaining his processes,0.1064453125
msr-vtt_TrainValVideo_video4223,a man on a motorbike is talking after parking his bike in times square,0.26953125
tempo_videos_786,Another man stands before man itches nose,0.0140380859375
k600_val_pQdEChJ6dyg_000000_000010,A man bodysurfs to the beach before swimming in the ocean,0.003173828125
msr-vtt_TrainValVideo_video6966,a lady with a scarf is making a cake with dough,0.5625
k600_val_kOg0L6erSks_000000_000010,During a karate class a man breaks a piece of wood in half and then kicks it,0.006683349609375
k600_val_--PwWfN1Ae4_000097_000107,A group of kids are sitting in chairs playing instruments while people on stage watch them,0.408203125
tempo_videos_3177,the camera pans away then the woman talks,0.5
k600_val_SBY2F917gBs_000000_000010,A man swims in very bad weather on the ocean.,0.119140625
k600_val_R1mSKjNJYrg_000004_000014,A man is causing his neck to crack before turning his head from side to side,0.0010299682617187
msr-vtt_TrainValVideo_video6391,A woman is refrigerating all ingredients and then combining them,0.0021820068359375
k600_val_qoqLHcAkdu4_000001_000011,A girl begins to sing a song while the crowd claps and then runs out on stage,0.000335693359375
k600_val_FSTaEc4Bpww_000472_000482,Men are shown working on a roof with cement in an advertisement video.,0.9453125
k600_val_Qwx8eViwCYo_000103_000113,A young boy mixes chocolate pudding in a silver bowl with a wooden spoon.,0.5625
msr-vtt_TrainValVideo_video991,a bus full of kids is singing as a woman drives on the road,0.40625
k600_val_qrR0sR0MgR8_000005_000015,A cute little baby boy is closing his present from granny.,0.1328125
k600_val_v0PdeB-b7kM_000013_000023,A duck and its kids walk around the lake with people.,0.40625
k600_val_vWPCvR3PDFU_000068_000078,Two men are watching others do a fight-dance to drum music while others watch and clap to the beat,0.009765625
k600_val_HyBfruyCbaw_000005_000015,A man throwing a knight at a target then twirling it on his finger,0.294921875
tempo_videos_8963,a man talks to the camera then the man looks to his left.,0.59375
k600_val_uLLsMzfIeWE_000155_000165,A man sits on a chair in a darkened room and dances to a beat.,0.62109375
k600_val_qHdlz2IJG60_000039_000049,"A person pans around the yard had all the snow, and then shows a boy throwing it up.",0.40625
msr-vtt_TrainValVideo_video3530,the man spoons the food from the skillet on the stove in the blender after it is cold,0.0673828125
k600_val_F0PB-AHDBqc_000201_000211,"Some men are cleaning an empty pool while a man is commenting on how tired the work is making him, then the men take a break",0.0003795623779296
k600_val_ZZLtaVNZqDU_000001_000011,A man is practicing his ball catching skills at a gym.,0.4375
k600_val_vG93N2iSxl4_000117_000127,A woman is singing on a microphone while sitting on a stage.,0.73046875
tempo_videos_98,the camera pans to the right before the man's face is close to the camera,0.2451171875
k600_val_YVlHIlfAN0s_000025_000035,A couple of people are holding hands skydiving and then fall individually and then let go of each other,0.0419921875
k600_val_DoSknWpQyPs_000055_000065,Man demonstrating how to use an small electric sweeper unit in an empty room on a carpet floor.,0.5
msr-vtt_TrainValVideo_video1849,a large number of people in colorful clothing are running the street at a parade,0.65234375
k600_val_N0ZbDTuOlQA_000059_000069,Diners at a busy restaurant sample various menu items and then drinks,0.0013275146484375
msr-vtt_TrainValVideo_video6497,speaker talks about the past of civilization,0.0419921875
msr-vtt_TrainValVideo_video5055,a rock band writes a video for a popular song,0.015869140625
msr-vtt_TrainValVideo_video6645,a girl flying a drone,0.87890625
k600_val_8Bth4HpWXgs_000058_000068,A woman is using plaster before demonstrating and explaining how to use plaster,0.0008049011230468
msr-vtt_TrainValVideo_video5224,a man plays a video game,0.81640625
msr-vtt_TrainValVideo_video3381,a machine pouring a raw egg over rice and then boxing eggs,0.5
k600_val_sPeJiOYO9WA_000043_000053,A group of skateboarders making successful attempts at skateboarding tricks.,0.92578125
msr-vtt_TrainValVideo_video4153,a bunch of dead people s souls are seen leaving their bodies before they die,0.0673828125
msr-vtt_TrainValVideo_video4115,There are several different movie previews after the movie is over,0.0010299682617187
k600_val_3uUNmUJUoyg_000003_000013,"A man takes a polo stick from a woman, and he throws the it.",0.70703125
k600_val_V4BNtCtuSQQ_000000_000010,A man is raking the lawn on a hot summer day,0.75390625
k600_val_592x25apz0s_000011_000021,A man is sharpening a pencil with a sharpener on the end of his screwdriver.,0.5
k600_val_oPxeF8c-kbU_000003_000013,A man is standing in a parking lot smashing a guitar on the ground before playing a song,0.0005531311035156
k600_val_IX7XRhiV8b4_000078_000088,A little kid is water skiing after waving at a camera,0.0004310607910156
k600_val_Yu3EMHZMmiY_000002_000012,A man caught the ball thrown to him by another man behind him,0.376953125
k600_val_6rB3M9DYbWo_000002_000012,A person runs and does a handstand and flips off of a cliff into the water below before a man yells,0.0027923583984375
msr-vtt_TrainValVideo_video6779,a person puts it on a slice of bread and then pounds random ingredients that look like garbage together on his table,0.62109375
k600_val_buADPfbPNkY_000087_000097,Male and female ballet dancers dance together while male narrator talks about them working together,0.04736328125
msr-vtt_TrainValVideo_video5461,People dance and then sing,0.000335693359375
k600_val_1bLrVWuHby0_000004_000014,"A mom helps her baby flip pancakes off the plate, onto the griddle",0.408203125
k600_val_I429XRDKTRY_000058_000068,a group of people are doing yoga to music.,0.62109375
msr-vtt_TrainValVideo_video3689,a woman with an australian accent talking about how to bake something,0.6796875
k600_val_ur5Hfd3R7iM_000133_000143,a man is using a special spatula to make a sculpture on a large canvas,0.6796875
tempo_videos_1851,"after the red motorcycle drives away, the man in black walks past the camera",0.8671875
k600_val_bTCznQiu0hc_000018_000028,"A little baby girl is standing while another person feeds her some food, then the little baby girl falls to the floor",0.0419921875
msr-vtt_TrainValVideo_video871,a man talks about getting threads connecting loosely,0.34765625
k600_val_acmFjYNwR98_000032_000042,A man throws a baseball at a target in a competition with another man.,0.1484375
k600_val_ojLiSFsUoko_000020_000030,A boy dances fancy footwork to slow music in his garage.,0.408203125
k600_val_nMWNCP1z8mc_000052_000062,A little boy rides a bike and another little boy follows him in a scooter.,0.3203125
k600_val_DqQlFKivsBk_000027_000037,a group of young children with phones as they sit on the couch talking to each other instead of ignoring each other,0.1328125
msr-vtt_TrainValVideo_video5739,There are animated menus showing different movies and options after the movies and options are shown,0.0001583099365234
msr-vtt_TrainValVideo_video5437,an instructor demonstrates a certain illustration technique involving a drawing board,0.65234375
k600_val_NbdKqNHbBpA_000065_000075,A woman is explaining her technique before giving another woman a massage on her leg,0.0015029907226562
msr-vtt_TrainValVideo_video1951,People are cycling around the city before they are boating,0.001708984375
k600_val_BV61-QMh8A0_000056_000066,A group of children does a song and dance routine on a stage after someone directs,0.0002031326293945
k600_val_NcDrVMPY2TY_000026_000036,A boy is playing a flute like instrument while another boy is playing the same instrument.,0.81640625
msr-vtt_TrainValVideo_video3921,a barbie doll singing,0.3203125
k600_val_IB1-UI7uSAg_000130_000140,Music plays in background after a person is weaving a basket,0.0005531311035156
msr-vtt_TrainValVideo_video3845,anakin skywalker talking to his friend,0.40625
k600_val_MVWlJV3ICWg_000022_000032,"Music is playing while a person is cutting some wood, then the person measures the wood",0.0013275146484375
k600_val_6yCY1NtQSTk_000000_000010,A man watches as cars drive on the road between him and others trying to start a fire at night.,0.77734375
k600_val_cyZ7XSeSUd8_000000_000010,Someone throwing a dart to a dartboard while the lion king song  is playing in the background.,0.75390625
tempo_videos_538,"After the man moves back and gestures, he points at the screen",0.2021484375
msr-vtt_TrainValVideo_video369,researchers in a library and children in a lab,0.2021484375
k600_val_bLgdi4w7OAk_000002_000012,A young girl brushes her teeth with her foot as parents look on.,0.77734375
k600_val_DlIUMYGMD3w_000004_000014,A crowd of people cheer after a baseball game taking place,0.00860595703125
msr-vtt_TrainValVideo_video6615,cutting dough in a kitchen,0.34765625
msr-vtt_TrainValVideo_video2925,Girls and guys are singing and dancing after the guys are singing and dancing,0.0007095336914062
k600_val_1G9LS4XXJrU_000111_000121,A man is taking part in a contest where he runs and throws a baseball.,0.90625
tempo_videos_4014,the baby is tickled before it raises its left arm,0.5625
k600_val_WIV00PoMxPk_000115_000125,"A little girl holds a garden hose and squirts water, then throws it.",0.1640625
tempo_videos_2111,man facing left talks before camera moves left,0.62109375
k600_val_zOwIzwNQQOY_000009_000019,Different people are shown ice climbing while slow music is playing.,0.53125
tempo_videos_2040,the wind keeps blowing then the camera is jumping,0.408203125
k600_val_9o68AyEWzcM_000081_000091,"A little girl is playing the piano next to an adult and when they start, people clap.",0.87890625
k600_val_IULfmfoyqk4_000004_000014,A person not wearing a shirt releases a ball on a rope and swings it,0.1328125
k600_val_aAp4MpIc6zg_000043_000053,A man is showing how to do certain tricks using a basketball and their hand.,0.8671875
k600_val_AbPDd2tpC3Q_000056_000066,A man takes a metal rebar somewhere else and then cuts it,0.0035858154296875
k600_val_YJHKXKdwJHE_000130_000140,The young women are tap dancing in front of an audience in the street.,0.04736328125
k600_val_7olz18uNTUI_000286_000296,A woman is trying to sell some toilet cleaning supplies with a demonstration after she is cleaning the toilet,0.0001583099365234
k600_val_1TehKUav-20_000001_000011,A pair of scuba divers hunting a school of fish.,0.8515625
tempo_videos_5703,the camera tracks the man in denim shorts then pans left to look at the approaching cars.,0.70703125
tempo_videos_1880,there is water not visible and then the water is visible for a moment before it reappears,0.3203125
k600_val_Hc6ZwhfXLR4_000082_000092,A woman shaves a design into the hair on a man's leg while another woman videos it and talks to the man,0.0260009765625
msr-vtt_TrainValVideo_video4904,this is clip on eye brow removing,0.07568359375
k600_val_XcxUTs02aJY_000008_000018,There is a person running to do a long jump into a base of water on a track while other people watch from the sides.,0.87890625
k600_val_S3AbmQB47JE_000003_000013,A man is doing sit ups with his legs together.,0.1328125
k600_val_g42jMCq1E4Q_000081_000091,In the ocean surfers are wiped out until they ride the waves,0.0159912109375
k600_val_8NfPWmK1q7k_000051_000061,A woman is alone in a room playing a very large piano instrument,0.1640625
k600_val_F56MNeSubws_000003_000013,a group of people at a gym where they try to perform a benchpress by having someone spot her,0.3203125
k600_val_muD4owEuIxs_000010_000020,"An old man is sitting on top of an elephant, riding it through the desert.",0.9453125
k600_val_tU24bPvAmx4_000072_000082,A ballerina dancer takes her dance out to the floor on a unicycle.,0.53125
k600_val_8oL26t-CLz8_000039_000049,A man started driving before he talked to a kid on a tractor,0.0005531311035156
k600_val_vssAeTr-ipk_000030_000040,Jamacan music is playing while a guy is shown walking on rope.,0.8671875
k600_val_hKMh4a1ppPM_000103_000113,A person washing the wall next to the toilet and then the toilet,0.010986328125
k600_val_leLlcqCFVdU_000135_000145,"A pizza is turned and put back in a fire grill, then taken out",0.0179443359375
k600_val_emrnPVaJHbo_000067_000077,A group of people is performing a musical routine in front of a crowd.,0.59375
k600_val_c0cYF6RwWmg_000003_000013,A person is showing how they shoot a bow from a gun.,0.3203125
k600_val_h8liVGLbERU_000096_000106,A woman gives an oil massage to a mans back after describing the process,0.0011672973632812
k600_val_lW9IhCEuVBo_000241_000251,Dramatic music plays as an equestrian jumps over bars and then rides her horse,0.0002613067626953
k600_val_wjYDGOk5xOs_000120_000130,A band listens to music on a field in front of a large crown in the bleachers.,0.007568359375
k600_val_tbDNdocmg7Q_000015_000025,"A woman is talking to a baby and playing with it, ending with the woman yawning",0.26953125
k600_val_lFN4MLLRghk_000002_000012,A man films his friend while he applies a wheel to a vehicle,0.1640625
k600_val_BbFbo987QEo_000057_000067,A younger woman and older man demonstrate how to perform a dance movement.,0.77734375
msr-vtt_TrainValVideo_video3719,talking trophy demands fanning and then it speaks,0.0673828125
k600_val_5HcTcVVikHs_000000_000010,A person is climbing a rope after he throws a ball in the air and catches it,0.0140380859375
msr-vtt_TrainValVideo_video5401,in an auditorium vip s are welcoming the audience by clapping hands while the audience are entering,0.408203125
k600_val_DIuKeLcDMXQ_000059_000069,"A woman sings the song, ""O Holy Night,"" while a man does interpretive dance",0.0260009765625
k600_val_6dWHWzU2Gxo_000025_000035,A boy is eating some spaghetti but eats it all.,0.62109375
k600_val_OXWthvBAKAc_000037_000047,A man talking about how to tie a bowline knot with a piece of rope.,0.87890625
tempo_videos_9885,the bug rests before it climbs,0.53125
k600_val_AWjfCxman6A_000183_000193,a lady is playing the saxophone and a man is playing the harp,0.0849609375
k600_val_KxtjAxfZU7c_000006_000016,"A grandfather shows his grandson how to water the flowers in his front garden, then he waters the flowers",0.00048828125
k600_val_6sriMbImNYE_000000_000010,A man runs quickly to try to pole vault but succeeds as he tries to attemp the jump,0.00860595703125
k600_val_GzMe547DQIU_000467_000477,"A young girl is curling her hair, using a hair dryer, while music is playing.",0.0260009765625
k600_val_n88nrHaAePY_000001_000011,Two people work together to make twin beds in a restaurant setting,0.796875
msr-vtt_TrainValVideo_video2270,A person is narrating a video game he is playing before playing the video game,0.0001401901245117
k600_val_WnDmiloCeSc_000001_000011,A man and a little boy are moving a mobile toy between each other while standing up,0.02294921875
k600_val_ARljeqwkSTI_000036_000046,Using a heart shaped device a person prepares to close a lock.,0.2451171875
k600_val_KaMfzeeYwWw_000042_000052,A man on a snowboard in a ski resort executes the nollie.,0.90625
k600_val_skPzG6rTrPM_000016_000026,The man is teaching the little boy how to properly throw a golf ball.,0.053466796875
